Lista_Datas,Lista_de_Rentabilidade
2019-10-04,0.021104192071899952
2019-10-07,0.0021787606209244803
2019-10-08,-0.003633803334767928
2019-10-09,0.01936907253393572
2019-10-10,0.02035513249070476
2019-10-11,0.04342028583036228
2019-10-14,0.05701407379578871
2019-10-15,0.04926744838102959
2019-10-16,0.04751329961582917
2019-10-17,0.04832636659772671
2019-10-18,0.04465199581144974
2019-10-21,0.054924318659337334
2019-10-22,0.06477626857828668
2019-10-23,0.06421058155045589
2019-10-24,0.05853295211516341
2019-10-25,0.06717395121000957
2019-10-28,0.07207311225837931
2019-10-29,0.0682932157574303
2019-10-30,0.08185586498737972
2019-10-31,0.06994183880795846
2019-11-01,0.0842206789538773
2019-11-04,0.08910773049400578
2019-11-05,0.08784661170719055
2019-11-06,0.09156942052643167
2019-11-07,0.08531745441456473
